PartNumber,Description,Price,EngineType
0579AECB,Pratt & Whitney - Quiet turbofan for business jets,3212436.93,Turbofan
B36D800E,IHI Corporation - High-thrust afterburning turbojet,3654294.49,Turbojet
031DC97A,Aero Engine Corporation of China - Efficient turboprop for regional transport,4876983.64,Turbofan
5856D229,MTU Aero Engines - High-thrust afterburning turbojet,1367068.59,Turboprop
84050005,Honeywell - Lightweight engine for UAVs,3321514.18,Turboprop
A37F2FF4,IHI Corporation - Supersonic-capable ramjet engine,2574099.88,Turbojet
E71B3261,Rolls-Royce - Compact turbojet for military jets,4940496.96,Turboshaft
720DBEB5,Honeywell - Supersonic-capable ramjet engine,831737.22,Turboshaft
9FA194F0,Honeywell - Fuel-efficient engine for long-haul flights,2744518.15,Ramjet
E30D4DE1,Pratt & Whitney - Compact turbojet for military jets,1679635.39,Turboshaft
4992F7A3,Safran - Supersonic-capable ramjet engine,1606412.5,Turbojet
FDD70091,Klimov - Compact turbojet for military jets,732855.88,Ramjet
D4359D18,Honeywell - Supersonic-capable ramjet engine,4701154.04,Turboprop
1349B4F8,IHI Corporation - Efficient turboprop for regional transport,939624.14,Turboshaft
F2DB824B,Klimov - Quiet turbofan for business jets,1384733.29,Turbojet
EC05DD2B,Williams International - Efficient turboprop for regional transport,2822207.71,Ramjet
EC28FC2D,Honeywell - Helicopter engine with advanced cooling,3234441.96,Turbojet
CB81A8B9,Honeywell - Heavy-duty engine for cargo planes,2146191.44,Turbofan
42B1537A,Pratt & Whitney - Helicopter engine with advanced cooling,1860275.02,Turboshaft
A5A5674C,Aero Engine Corporation of China - High-bypass turbofan for commercial aircraft,2351920.95,Turbofan
43D20F6C,Williams International - Efficient turboprop for regional transport,3785803.18,Turboprop
870A4F82,Rolls-Royce - Quiet turbofan for business jets,1474074.46,Turbojet
CB087A13,Pratt & Whitney - Heavy-duty engine for cargo planes,3060962.99,Turboprop
111E4F2E,Aero Engine Corporation of China - Heavy-duty engine for cargo planes,3807983.48,Turbofan
ACA3A10C,GE Aviation - Fuel-efficient engine for long-haul flights,516438.39,Turbojet
0C03B69F,Aero Engine Corporation of China - High-bypass turbofan for commercial aircraft,2069837.06,Ramjet
4F955838,Williams International - High-bypass turbofan for commercial aircraft,3362119.16,Turboshaft
2705E274,Rolls-Royce - Fuel-efficient engine for long-haul flights,1463439.9,Turboprop
EC077881,IHI Corporation - Compact turbojet for military jets,2530217.42,Turbojet
B95A0A78,IHI Corporation - Helicopter engine with advanced cooling,2122863.23,Turboprop
5DCF2173,Klimov - Fuel-efficient engine for long-haul flights,1097497.41,Ramjet
E37AE1A3,Klimov - Lightweight engine for UAVs,4667427.13,Turbojet
221F6F3C,Klimov - Helicopter engine with advanced cooling,795242.36,Ramjet
92F07822,Honeywell - Heavy-duty engine for cargo planes,3143195.11,Turbojet
4D9343D5,Safran - High-bypass turbofan for commercial aircraft,674812.67,Turboshaft
AA528FEA,Safran - Heavy-duty engine for cargo planes,2501878.53,Turboshaft
698DB3CA,Rolls-Royce - Lightweight engine for UAVs,3695323.51,Turboprop
44291110,Safran - Compact turbojet for military jets,890530.47,Turboshaft
DE413017,Rolls-Royce - Lightweight engine for UAVs,3381217.96,Turboshaft
7F33F88E,Aero Engine Corporation of China - Efficient turboprop for regional transport,4759159.9,Turboprop
1E936256,MTU Aero Engines - Compact turbojet for military jets,1508050.12,Turbofan
D412D47C,Klimov - Helicopter engine with advanced cooling,3052326.96,Turbofan
E479D343,Rolls-Royce - Lightweight engine for UAVs,4882282.99,Turboprop
B6B479E0,Aero Engine Corporation of China - High-bypass turbofan for commercial aircraft,2450427.45,Turbofan
1F50637D,Pratt & Whitney - Fuel-efficient engine for long-haul flights,808603.24,Turbojet
3148F961,Klimov - Fuel-efficient engine for long-haul flights,3258122.1,Turbofan
626C7596,Honeywell - Heavy-duty engine for cargo planes,3755059.89,Turbojet
2566DFC3,Rolls-Royce - Heavy-duty engine for cargo planes,2113343.6,Ramjet
7FCAF514,Aero Engine Corporation of China - Compact turbojet for military jets,3880856.38,Turbofan
FCB854B1,Safran - Helicopter engine with advanced cooling,1975349.64,Turbofan
